Ticker,Amount,Volume,Profit,Consumed
BEA,13035.333333333361,3381920.3821102073,1778352.1324362261,13978.435503875995
BE,1210.4666666666674,2804981.5979801537,503636.79660619155,936.8000000000001
BGC,1297.6666666666663,776611.1217027078,108870.18481756229,913.6666666666666
BGO,496.0,1082621.909515875,380092.5025515632,399.33333333333337
BID,0.4666666666666667,21175.0,-3051.5759743433828,0.0
BLE,38.96666666666667,117810.15285289465,42918.118289865044,33.133333333333326
BL,48.53333333333334,467324.45692053344,314207.8078149469,28.866666666666674
BMF,43.03333333333333,1088424.6844966444,332222.9904817604,29.76666666666666
BOS,380.26666666666654,2159860.4703007992,1152373.4311680098,310.9999999999999
BRO,284.90000000000003,640204.0976363181,229758.9608718405,273.4666666666667
BSC,17.833333333333336,550356.4814814816,-65519.39808517719,16.1
BSE,3764.2333333333318,6179127.34303881,1186061.704646382,4339.022363596393
BTA,286.5666666666677,428346.81930504023,45863.40624298933,25.18907350427355
BWS,82.69999999999999,2093494.4270513388,826815.9510377138,41.09999999999999
CAF,6484.733333333331,8840165.827352969,848305.4325525155,5939.766666666668
CAP,810.5,196791.15113592675,44723.55498450223,513.1333333333333
CA,109.30000000000001,78830.30349487705,8608.63656626002,62.366666666666674
CBL,31.733333333333338,2889572.6585428184,-6706.925318481287,13.666666666666664
CBM,18.233333333333334,1150969.8917131883,36734.494005379296,12.266666666666664
CBS,44.599999999999994,1877467.0078178167,132449.5875926531,14.099999999999998
CCD,0.03333333333333333,1921.680790960452,470.3098184419812,0
CC,0.03333333333333333,11166.666666666666,-9336.552640250851,0
CD,23.033333333333328,271092.44288466824,27212.455336641957,15.133333333333333
CL,7596.599999999994,28710192.55000273,13924593.754602784,6886.072777777776
COF,17819.300000000007,14274231.035977788,3448799.8018159694,17401.529316818713
COM,14.499999999999995,1933685.5851473466,668918.5947826694,7.099999999999998
CRU,0.06666666666666667,26296.296296296296,12347.042559025273,0
C,37185.60000000007,26496775.583492596,3931820.0018331306,34300.46536111113
DCH,19.100000000000005,171136.00000000006,-162900.59489581574,15.833333333333332
DDT,3213.699999999999,15894615.088335633,7877988.7996278405,2276.938666666668
DEC,98.2,2014598.357335968,138844.1557382796,65.33333333333336
DIS,30.53333333333334,223781.05574786328,80306.23511643003,23.033333333333328
DRF,33.599999999999994,129031.77182608702,-11851.297677001789,19.100000000000005
DW,299728.56666666747,29154183.846071012,8916559.19578051,251723.51879309697
EES,14.433333333333334,736016.188115192,120687.97118604356,8.133333333333335
EPO,228173.3333333332,40194947.50444277,14589113.156245507,218245.0000000001
ES,460.6666666666667,741786.7671523105,-44000.61098076081,266.4
ETC,18.0,229576.35063829788,20476.00406325463,13.200000000000001
EXO,5676.666666666666,1756133.999637333,414894.6092004546,4645.083301495726
FAL,393.0000000000002,689673.2947095438,217363.9617739324,315.1333333333333
FAN,80.53333333333332,117675.42620100894,-28911.482210796272,43.03333333333333
FC,43.500000000000014,108564.10553600884,-32520.419030446454,31.933333333333323
FET,1088.2666666666667,2624850.721340482,425461.33391944744,877.6666666666665
FFC,4.533333333333331,1912900.8355199993,274292.51249791705,0
FF,338696.66666666616,5744926.617084573,1951867.755579187,0
FIM,11052.199999999993,35102329.129850864,10686977.07958781,10694.644948717953
FLO,0.5333333333333333,7163.082398081535,-1504.566730184269,0
FLP,359.19999999999976,240502.89226255985,94712.53142765333,111.99999999999997
FLX,11635.666666666659,1548704.2889481187,424028.97998759546,10794.560916666675
FOD,203.73333333333326,85724.86506613757,20215.489473177255,0
F,211.6,490154.1324684938,465210.18979674723,24.26666666666667
GC,1441.0,599580.2159270796,276369.0810737049,978.9999999999995
GIN,894.9333333333332,1279396.7531641505,484736.50273350946,900.5968974358974
GL,9730.0,3831355.733178195,2252700.8033728227,9163.903333333334
GRA,1077.1333333333341,3125618.3279384207,989036.651129162,1003.0
GRN,28843.333333333434,9619361.100892225,6647636.099434213,31179.910000000054
GV,89.7,131773.06959510568,1028.9947579642003,42.466666666666654
HCC,2315.3333333333335,1431009.796726522,302655.167671715,2002.5333333333335
HCP,29015.33333333335,9382839.199298326,5356930.9300593985,30238.84666666673
HD,399.9999999999999,1467538.6956046354,252400.48356394243,285.5
HE3,6157.066666666664,1567639.9290990133,877776.6528547272,6773.933333333323
HER,8017.866666666671,30594031.39374814,17665808.676445115,7051.4666666666635
HE,4087.9666666666667,1653316.4014307829,1364176.497336234,1845.153333333333
HMS,1631.666666666666,2831266.7195107965,819032.396821179,1543.2637752136745
HOG,5.133333333333334,29467.291660570594,-5320.478386188224,1.5666666666666667
HOP,610.3000000000002,1229771.0841200915,475879.17545218946,571.4666666666668
HPC,14.666666666666666,342222.2222222222,36495.109512655545,19.999999999999986
HSE,215.86666666666673,2427186.289206584,122139.99451080279,0
