Ticker,Amount,Volume,Profit,Consumed
CBS,86.8333333333333,3656130.9273646483,219584.99662663182,13.633333333333331
CBU,8.666666666666666,3533001.284844377,259132.12953695634,0
CCD,89.16666666666667,7135495.706343011,2028835.2706614484,0
CC,1.2666666666666666,705688.5954143301,-281700.60656702897,0
CD,18.433333333333334,252881.34324625062,76010.76017093414,13.866666666666669
CF,290.5666666666665,1824072.7704725552,-229499.90671881172,272.9333333333333
CHA,33.89999999999999,866013.6780589281,-663397.5603177432,33.166666666666664
CLI,2704.166666666668,486141.0367647063,397448.17356725864,1989.8
CL,8329.333333333328,26602994.919006046,10703296.535264531,6787.209999999997
COF,20932.79999999999,17354661.804789938,3998594.761713942,19061.864653200213
COM,13.099999999999998,1587928.6128214286,415308.7791970649,5.199999999999998
COT,1292.8666666666659,4105674.339448418,1876793.4918669576,1017.939555555555
CQL,2.5333333333333328,4259745.521897141,1140846.8042859673,0
CQM,2.6333333333333333,3001845.1377812494,532847.1499418908,0
CQS,1.1333333333333335,1097437.6522481753,252407.35509296597,0
CQT,0.23333333333333334,72892.26703010754,10990.676216183987,0
CRU,0.1,51155.778894472365,30902.282878035345,0
CST,3.0999999999999996,7408.987038105045,518.4628228795686,0.1
CTF,205.73333333333335,3981349.232786791,579989.8957576036,190.03333333333336
CUO,3005.3999999999996,734067.4538778245,580047.3088160319,3485.8333333333335
CU,2091.5,2771017.3785711676,1039315.4316401451,1910.0333333333338
C,36893.19999999993,37937518.076573715,13948561.942719048,37299.37400000001
DA,30.400000000000006,1179586.2498909093,268556.88317063736,24.700000000000003
DCH,139.86666666666662,2444230.656556727,-79458.48434432741,131.96666666666667
DCL,136.0,914548.7132652551,46320.74285305821,95.43333333333332
DCM,229.86666666666662,991980.2179703141,95352.61500772412,236.8
DCS,749.0666666666666,1306380.673463355,601455.5031879261,660.4066666666668
DDT,3563.099999999999,10930797.513954867,2097823.618501882,2519.259999999998
DD,8.966666666666663,259287.22169868986,52198.086249861095,7.300000000000001
DEC,125.03333333333332,2078557.40754575,-147398.6334386461,79.49999999999999
DIS,34.13333333333333,218524.49563072683,23006.5729848805,18.433333333333334
DRF,158.63333333333333,723033.5908468207,52827.607954074076,139.86666666666662
DV,9.233333333333329,181566.1934047999,105283.98537155706,6.266666666666667
DW,309415.83333333477,26780819.535567958,7973365.197974116,281116.28305038804
EBU,6.066666666666666,1331850.9494216216,259389.13646277157,0
